LAST SEEN   TYPE      REASON              OBJECT                                                       MESSAGE
30m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.434s (3.376s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v1.0.0" in 2.283s (5.657s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.272s (6.928s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.309s (4.764s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.058s (5.305s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.983s (4.374s including waiting). Image size: 0 bytes.
29m         Warning   Unhealthy           pod/prometheus-kube-prometheus-operator-6f69656888-bqx98     Liveness probe failed: Get "https://10.1.0.147:10250/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
29m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 4.783s (7.9s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v1.0.0" in 6.428s (14.327s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 2.066s (13.801s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.914s (15.715s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 2.178s (4.02s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.205s (5.224s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.484s (1.484s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.161s (2.483s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v1.0.0" in 1.601s (2.077s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.198s (1.198s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.925s (1.926s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 2.823s (4.748s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.736s (1.955s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.475s (1.475s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v1.0.0" in 1.25s (1.25s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 3.043s (3.043s including waiting). Image size: 0 bytes.
